Source,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
Geography,Object,,Plant,WoodyPlant,WhiteOakTree
Geography,Object,,Plant,WoodyPlant,WillowTree
Government,Object,ConcreteEntity,AppealsCourt,,
Government,Object,ConcreteEntity,OverseasArea,BritishCrownColony,
Government,Object,ConcreteEntity,CommunistParty,,
Government,Abstract,Proposition,Constitution,,
Government,Physical,ContentBearingPhysical,ConstitutionDocument,,
Government,Object,ConcreteEntity,GovernmentOrganization,ConstitutionalCourt,
Government,Object,ConcreteEntity,GovernmentOrganization,Consulate,
Government,Object,ConcreteEntity,GovernmentOrganization,ConsulateGeneral,
Government,Attribute,,PsychologicalAttribute,Coronation,
Government,Object,ConcreteEntity,GovernmentOrganization,DiplomaticOrganization,
Government,Process,ConcreteEntity,Selecting,GeneralElection,ElectoralCollegeElection
Government,Object,ConcreteEntity,Embassy,,
Government,Object,ConcreteEntity,Residence,ExecutiveResidence,
Government,Attribute,,Position,ForeignServicePosition,
Government,Object,ConcreteEntity,PoliticalOrganization,ForeignTerroristOrganization,
Government,Process,ConcreteEntity,Selecting,GeneralElection,
Government,Object,ConcreteEntity,Commission,GovernmentCabinet,
Government,Object,ConcreteEntity,InternationalOrganization,,
Government,Object,ConcreteEntity,GovernmentOrganization,IslamicLawCourt,
Government,Attribute,,LegalSystemAttribute,,
Government,Object,ConcreteEntity,LegislativeChamber,,
Government,Object,ConcreteEntity,LegislativeOrganization,,
Government,Attribute,,MemberStatus,,
Government,Object,ConcreteEntity,Government,NationalGovernment,
Government,Object,ConcreteEntity,InternationalOrganization,OrganizationOfNations,
Government,Object,ConcreteEntity,Parliament,,
Government,Object,ConcreteEntity,ParliamentaryTerritory,,
Government,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,PartyPlatform
Government,Object,ConcreteEntity,PoliticalCoalition,,
Government,Object,ConcreteEntity,PoliticalParty,,
Government,Object,ConcreteEntity,PoliticalOrganization,PoliticalPressureGroup,
Government,Process,ConcreteEntity,Selecting,GeneralElection,PopularElection
Government,Abstract,Proposition,RegionalLaw,,
Government,Abstract,Proposition,RestrictedSuffrage,,
Government,Object,ConcreteEntity,SelfGoverningTerritory,,
Government,Abstract,Proposition,SuffrageLaw,,
Government,Object,ConcreteEntity,GovernmentOrganization,SupremeCourt,
Government,Attribute,,TransnationalIssue,,
Government,Object,ConcreteEntity,OverseasArea,UnincorporatedUnitedStatesTerritory,
Government,Abstract,Proposition,VoterAgeRequirement,,
Hotel,Process,ConcreteEntity,AirportShuttleService,,
Hotel,Abstract,RatingAttribute,AmbienceRating,,
Hotel,Physical,ContentBearingPhysical,Name,Brand,
Hotel,Object,ConcreteEntity,Room,BusinessCenter,
Hotel,Attribute,,ObjectiveNorm,Cable,
Hotel,Object,ConcreteEntity,Casino,,
Hotel,Process,ConcreteEntity,Arriving,CheckInService,
Hotel,Physical,ContentBearingPhysical,CheckOutService,,
Hotel,Process,ConcreteEntity,ChildCareService,,
Hotel,Entity,ChildrenPolicy,,,
Hotel,Process,ConcreteEntity,ServiceProcess,CurrencyExchangeService,
Hotel,Entity,HousekeepingPolicy,DailyHousekeepingPolicy,,
Hotel,Process,ConcreteEntity,Transfer,DryCleaningService,
Hotel,Process,ConcreteEntity,ServiceProcess,ExecutiveService,
Hotel,Process,ConcreteEntity,Hiring,FlightReservation,
Hotel,Abstract,RatingAttribute,FoodRating,,
Hotel,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,FullBoard
Hotel,Process,ConcreteEntity,HotelPackage,GolfPackage,
Hotel,Object,,CognitiveAgent,ArtificialIntelligence,HalfBoard
Hotel,Object,ConcreteEntity,HotelBuilding,,
Hotel,Object,ConcreteEntity,HotelFrontDesk,,
Hotel,Object,ConcreteEntity,Room,HotelFunctionRoom,
Hotel,Attribute,,HotelLevelAttribute,,
Hotel,Physical,Collection,HotelMiniBar,,
Hotel,Process,ConcreteEntity,HotelPackage,,
Hotel,Abstract,RatingAttribute,HotelRating,,
Hotel,Process,ConcreteEntity,Hiring,HotelReservation,
Hotel,Object,ConcreteEntity,Room,HotelRoom,
Hotel,Attribute,,HotelRoomAttribute,,
Hotel,Object,ConcreteEntity,HotelUnit,,
Hotel,Object,ConcreteEntity,Building,HotelVilla,
Hotel,Entity,HousekeepingPolicy,,,
Hotel,Object,ConcreteEntity,InternetAccessPoint,,
Hotel,Object,ConcreteEntity,EngineeringComponent,InternetConnection,
Hotel,Process,ConcreteEntity,ServiceProcess,IroningService,
Hotel,Process,ConcreteEntity,ServiceProcess,LaundryService,
Hotel,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,MealPlan
Hotel,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,MealPlanBreakfast
Hotel,Object,,CognitiveAgent,ArtificialIntelligence,MealPlanContinental
Hotel,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,MealPlanEuropean
Hotel,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,MealPlanModifiedAmerican
Hotel,Process,ConcreteEntity,ServiceProcess,MedicalService,
Hotel,Object,ConcreteEntity,Modem,,
Hotel,Entity,ChildrenPolicy,NoChildrenPolicy,,
Hotel,Entity,HousekeepingPolicy,NoHousekeepingPolicy,,
Hotel,Entity,PetPolicy,NoPetsPolicy,,
Hotel,Entity,SmokingPolicy,NoSmokingPolicy,,
Hotel,Entity,PetPolicy,,,
Hotel,Entity,PetPolicy,PetsAllowedPolicy,,
Hotel,Process,ConcreteEntity,ServiceProcess,PhotocopyingService,
Hotel,Abstract,RatingAttribute,PriceRating,,
Hotel,Abstract,RatingAttribute,,,
Hotel,Abstract,RatingAttribute,RestaurantRating,,
Hotel,Process,ConcreteEntity,ServiceProcess,RoomCleaningService,
Hotel,Physical,Collection,RoomInventory,,
Hotel,Process,ConcreteEntity,ServiceProcess,RoomService,
Hotel,Process,ConcreteEntity,ServiceProcess,SafetyDepositService,
Hotel,Process,ConcreteEntity,ServiceProcess,SecretarialService,
Hotel,Process,ConcreteEntity,Arriving,SelfServiceCheckIn,
Hotel,Physical,ContentBearingPhysical,CheckOutService,SelfServiceCheckOut,
Hotel,Abstract,RatingAttribute,ServiceRating,,
Hotel,Process,ConcreteEntity,ShuttleService,,
Hotel,Entity,SmokingPolicy,SmokingAllowedPolicy,,
Hotel,Entity,SmokingPolicy,,,
Hotel,Process,ConcreteEntity,Hiring,TourReservation,
Hotel,Process,ConcreteEntity,ServiceProcess,TourService,
Hotel,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,TravelReservation
Hotel,Process,ConcreteEntity,ServiceProcess,TurndownService,
Hotel,Object,ConcreteEntity,TransportationDevice,LandVehicle,ValetLaundryService
Hotel,Physical,ContentBearingPhysical,CheckOutService,VideoCheckOut,
Hotel,Physical,ContentBearingPhysical,ArtifactMediatedCommunication,WakeUpService,
Hotel,Object,ConcreteEntity,EngineeringComponent,InternetConnection,WiredInternetConnection
Hotel,Object,ConcreteEntity,EngineeringComponent,InternetConnection,WirelessInternetConnection
Hotel,Entity,HousekeepingPolicy,WithHousekeepingPolicy,,
HouseholdAppliances,Object,ConcreteEntity,CoolingDevice,AirConditioner,
HouseholdAppliances,Object,ConcreteEntity,Holder,ClothesWasherDryer,AskoW6324
HouseholdAppliances,Object,ConcreteEntity,Attic,,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,MediaAppliance,AudioAmplifier
HouseholdAppliances,Object,ConcreteEntity,BabyMonitoringSystem,CommunicationAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,BathBodyCareAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,BathingDevice,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,BatteryCharger,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,BatteryPoweredDevice,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,BodyCareAppliance,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,Breadmaker,
HouseholdAppliances,Object,ConcreteEntity,CableModem,CommunicationDevice,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,CeilingFan,
HouseholdAppliances,Object,ConcreteEntity,HeatingDevice,CentralHeatingSystem,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,Clock,
HouseholdAppliances,Object,ConcreteEntity,Holder,ClothesWasherDryer,
HouseholdAppliances,Attribute,,ClothesWasherLoadConfiguration,,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,CoffeeMaker,
HouseholdAppliances,Object,ConcreteEntity,EngineeringComponent,CommunicationAppliance,
HouseholdAppliances,Attribute,,ObjectiveNorm,ComputerScreen,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,CookerPad,
HouseholdAppliances,Physical,ContentBearingPhysical,DecorativeAppliance,,
HouseholdAppliances,Physical,Collection,DecorativeLightString,,
HouseholdAppliances,Physical,ContentBearingPhysical,DecorativeAppliance,DecorativeLighting,
HouseholdAppliances,Object,ConcreteEntity,ElectricBlanket,,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,ElectricCookerPad,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricExerciseTreadmill,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricFan,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricFootSpa,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricGrassMower,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricHeater,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricKettle,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricLeafBlower,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricOven,
HouseholdAppliances,Object,ConcreteEntity,Holder,ElectricTankBoiler,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,ElectricWaterPurifier,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,ElectronicClock,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,WeatherSensor,ElectronicWeatherSensor
HouseholdAppliances,Attribute,,EnergyMeasure,,
HouseholdAppliances,Attribute,,EnergyStarAttribute,,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,EntertainmentAppliance,
HouseholdAppliances,Attribute,,EuropeanUnionEnergyLabelClass,,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,FabricIron,
HouseholdAppliances,Attribute,,ObjectiveNorm,LightBulb,FluorescentBulb
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,FoodBlender,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,FoodMixer,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,FoodProcessingAppliance,
HouseholdAppliances,Object,ConcreteEntity,Holder,FoodProcessor,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,BathBodyCareAppliance,FootSpa
HouseholdAppliances,Attribute,,FrequencyMeasure,,
HouseholdAppliances,Object,ConcreteEntity,Holder,FridgeFreezer,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,GameConsole,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,GarbageDisposer,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,GardenAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,GrassMower,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,HairDryer,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,HairIron,
HouseholdAppliances,Object,ConcreteEntity,HeatingDevice,HeatingAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,HomeOfficeAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,HouseUtilityAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,Humidifier,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,ImageScanner,
HouseholdAppliances,Attribute,,ObjectiveNorm,LightBulb,IncandescentBulb
HouseholdAppliances,Object,ConcreteEntity,Holder,ClothesWasherDryer,IndesitIWC8123
HouseholdAppliances,Attribute,,ObjectiveNorm,Printer,InkjetPrinter
HouseholdAppliances,Object,ConcreteEntity,Holder,Kettle,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,LaundryAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,LeafBlower,
HouseholdAppliances,Attribute,,ObjectiveNorm,LightBulb,LedBulb
HouseholdAppliances,Attribute,,ObjectiveNorm,LightBulb,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,LightingAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,MediaAppliance,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,Microwave,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,MobileGameConsole,
HouseholdAppliances,Object,ConcreteEntity,EngineeringComponent,NetworkRouter,
HouseholdAppliances,Object,ConcreteEntity,Holder,Oven,
HouseholdAppliances,Attribute,,ObjectiveNorm,PersonalComputer,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,PortablePersonalComputer,
HouseholdAppliances,Attribute,,PowerMeasure,,
HouseholdAppliances,Attribute,,ObjectiveNorm,Printer,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,RadioReceiver,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,RecreationOrExerciseAppliance,
HouseholdAppliances,Object,ConcreteEntity,Holder,RefrigerationAppliance,
HouseholdAppliances,Object,ConcreteEntity,CableModem,RouterWithModem,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,SensorAppliance,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,MediaAppliance,SetTopBox
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,ShavingRazor,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,SmallKichenAppliance,
HouseholdAppliances,Object,ConcreteEntity,SmokeDetector,,
HouseholdAppliances,Object,ConcreteEntity,SpeakerDevice,,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,Stove,
HouseholdAppliances,Object,ConcreteEntity,Telephone,CommunicationAppliance,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,Toaster,
HouseholdAppliances,Attribute,,ObjectiveNorm,Printer,TonerPrinter
HouseholdAppliances,Object,ConcreteEntity,DryingDevice,TumbleDryer,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,UninterruptiblePowerSupplyUnit,
HouseholdAppliances,Attribute,,CompositeUnitOfMeasure,UnitOfEnergy,
HouseholdAppliances,Attribute,,CompositeUnitOfMeasure,UnitOfFrequency,
HouseholdAppliances,Attribute,,CompositeUnitOfMeasure,UnitOfPower,
HouseholdAppliances,Object,ConcreteEntity,Clothing,VacuumCleaner,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,WaffleIron,
HouseholdAppliances,Object,ConcreteEntity,WashingDevice,,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,WaterPurifier,
HouseholdAppliances,Object,ConcreteEntity,HouseholdAppliance,WeatherSensor,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,WhirlpoolBathtub,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,WholeHouseFan,
HouseholdAppliances,Object,ConcreteEntity,ElectricDevice,WindowFan,
Media,Physical,ContentBearingPhysical,PlaceDescriptor,VirtualPlaceID,AccountID
Media,Attribute,,TimeMeasure,Advent,
Media,Attribute,,TimeMeasure,ChristianHoliday,AdventSunday
Media,Object,ConcreteEntity,Business,Agency,
Media,Physical,ContentBearingPhysical,Name,PartyID,AgentID
Media,Process,ConcreteEntity,AgentPatientProcess,,
Media,Physical,ContentBearingPhysical,Alpha2String,Alpha2IDString,
Media,Physical,ContentBearingPhysical,Alpha2String,,
Media,Physical,ContentBearingPhysical,Alpha3String,Alpha3IDString,
Media,Physical,ContentBearingPhysical,Alpha3String,,
Media,Physical,ContentBearingPhysical,AlphaIDString,,
Media,Object,,CognitiveAgent,ArtificialIntelligence,AlphaNumericIDString
Media,Object,,CognitiveAgent,ArtificialIntelligence,AlphaNumericString
Media,Physical,ContentBearingPhysical,AlphabeticString,,
Media,Object,ConcreteEntity,CognitiveAgent,Angel,
Media,Attribute,,TimeMeasure,ChristianHoliday,AscensionThursday
Media,Attribute,,ObjectiveNorm,AudioCDSystem,
Media,Object,ConcreteEntity,AudioCassette,,
Media,Object,ConcreteEntity,DataStorageDevice,AudioDataStorageDevice,
Media,Physical,ContentBearingPhysical,AudioRecording,AudioFile,
Media,Physical,ContentBearingPhysical,AudioRecording,,
Media,Object,ConcreteEntity,DataStorageDevice,AudioVisualDataStorageDevice,
Media,Physical,ContentBearingPhysical,AudioRecording,AudioVisualFile,
Media,Physical,ContentBearingPhysical,PlaceDescriptor,VirtualPlaceID,BankAccountNumber
Media,Process,ConcreteEntity,Baptizing,,
Media,Object,ConcreteEntity,Blackboard,,
Media,Attribute,,ObjectiveNorm,OpticalDisc,BluRayDisc
Media,Object,ConcreteEntity,Book,,
Media,Object,ConcreteEntity,Business,BookPublisher,
Media,Object,ConcreteEntity,Business,BookSeller,
Media,Object,ConcreteEntity,BookStore,,
Media,Object,ConcreteEntity,Business,,
Media,Attribute,,ObjectiveNorm,OpticalDisc,CDR
Media,Attribute,,ObjectiveNorm,OpticalDisc,CDROM
Media,Attribute,,ObjectiveNorm,OpticalDisc,CDRW
Media,Process,ConcreteEntity,Ceremony,,
Media,Object,ConcreteEntity,Choir,,
Media,Attribute,,TimeMeasure,ChristianHoliday,
Media,Attribute,,TimeMeasure,ChristianHoliday,ChristmasDay
Media,Abstract,Proposition,CodeMap,,
Media,Attribute,,ObjectiveNorm,OpticalDisc,CompactDisc
Media,Object,ConcreteEntity,TextDocument,ContractDocument,
Media,Object,ConcreteEntity,CopyrightAuthority,,
Media,Object,ConcreteEntity,Corporation,,
Media,Object,ConcreteEntity,Correspondence,,
Media,Physical,ContentBearingPhysical,PlaceDescriptor,LocalizablePlaceID,CountryID
Media,Object,ConcreteEntity,Business,Crematorium,
Media,Abstract,Proposition,CurrencyCodeMap,,
Media,Physical,ContentBearingPhysical,Name,PartyID,CustomerID
Media,Object,,CognitiveAgent,ArtificialIntelligence,DOCFile
Media,Attribute,,ObjectiveNorm,OpticalDisc,DVD
Media,Physical,Collection,DVDSystem,,
Media,Attribute,,ObjectiveNorm,DataDisplayDevice,
Media,Object,ConcreteEntity,DataStorageDevice,,
Media,Physical,ContentBearingPhysical,DecimalDigitString,,
Media,Process,ConcreteEntity,Writing,Decoding,
Media,Attribute,,ObjectiveNorm,DigitalDataStorageDevice,DigitalAudioTapeCassette
Media,Attribute,,ObjectiveNorm,DigitalDataStorageDevice,
Media,Object,,CognitiveAgent,ArtificialIntelligence,DigitalSignature
Media,Physical,ContentBearingPhysical,PlaceDescriptor,LocalizablePlaceID,DistrictID
Media,Object,ConcreteEntity,Document,,
Media,Object,,CognitiveAgent,ArtificialIntelligence,EBookFile
Media,Attribute,,TimeMeasure,TimeInterval,EasterSunday
Media,Object,ConcreteEntity,DataStorageDevice,ElectronicDataStorageDevice,
Media,Object,ConcreteEntity,EmailAddress,,
Media,Object,ConcreteEntity,Correspondence,EmailMessage,
Media,Physical,ContentBearingPhysical,Emailing,,
Media,Physical,ContentBearingPhysical,Name,PartyID,EmployeeID
Media,,ContentBearingPhysical,Name,EmployeeNumber,EmployeeID
Media,Process,ConcreteEntity,Writing,Encoding,
Media,Object,ConcreteEntity,Business,EntertainmentCompany,
Media,Attribute,,TimeMeasure,ChristianHoliday,Epiphany
Media,Object,ConcreteEntity,FaxMachine,CommunicationAppliance,
Media,Object,ConcreteEntity,Correspondence,FaxMessage,
Media,Physical,ContentBearingPhysical,PlaceDescriptor,PlaceAddress,FilePath
Media,Object,ConcreteEntity,Business,FinancialCompany,
Media,Object,ConcreteEntity,Telephone,FixedPhone,
Media,Physical,ContentBearingPhysical,Name,FormalIdentifier,
Media,Process,ConcreteEntity,Funeral,,
Media,Object,ConcreteEntity,Business,FuneralArranger,
Media,Abstract,Proposition,GeographicCodeMap,,
Media,Attribute,,TimeMeasure,JewishHoliday,Hanukkah
Media,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,HardcopyDocument
Media,Object,ConcreteEntity,Hotel,,
Media,Physical,ContentBearingPhysical,Name,FormalIdentifier,ISBNcode
Media,Physical,ContentBearingPhysical,Name,FormalIdentifier,ISMN
Media,Physical,ContentBearingPhysical,Name,FormalIdentifier,ISRC
Media,Physical,ContentBearingPhysical,Image,,
Media,Object,,CognitiveAgent,ArtificialIntelligence,ImageFile
Media,Physical,ContentBearingPhysical,InPersonCommunication,,
Media,Object,ConcreteEntity,Business,InsuranceCompany,
Media,Object,ConcreteEntity,InternetAddress,,
Media,Physical,ContentBearingPhysical,Name,StandardIdentifier,IsoCode
Media,Physical,ContentBearingPhysical,Name,StandardIdentifier,IsoLanguageCode
Media,Object,,CognitiveAgent,ArtificialIntelligence,JPGFile
Media,Attribute,,TimeMeasure,JewishHoliday,
Media,Abstract,Proposition,LanguageCodeMap,,
Media,Attribute,,TimeMeasure,Lent,
Media,Object,ConcreteEntity,Correspondence,Letter,
Media,Abstract,Proposition,LicenseAgreement,,
Media,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,Logo
Media,Object,,CognitiveAgent,ArtificialIntelligence,MUSFile
Media,Object,ConcreteEntity,FormText,OperatingSystem,MacOS
Media,Object,ConcreteEntity,FormText,OperatingSystem,MicrosoftWindows
Media,Object,ConcreteEntity,EngineeringComponent,MobileCellPhone,
Media,Object,,CognitiveAgent,ArtificialIntelligence,MultimediaFile
Media,Physical,ContentBearingPhysical,MusicalConducting,Directing,
Media,Physical,ContentBearingPhysical,NumericIDString,,
Media,Physical,ContentBearingPhysical,NumericString4,,
Media,Object,ConcreteEntity,OHPTransparency,,
Media,Attribute,,ObjectiveNorm,OpticalDisc,
Media,Object,,CognitiveAgent,ArtificialIntelligence,PDFFile
Media,Physical,ContentBearingPhysical,Palindrome,,
Media,Attribute,,TimeMeasure,ChristianHoliday,PalmSunday
Media,Object,ConcreteEntity,Business,Partnership,
Media,Physical,ContentBearingPhysical,Name,PartyID,
Media,Attribute,,TimeMeasure,TimeInterval,Passover
Media,Attribute,,TimeMeasure,ChristianHoliday,Pentecost
Media,Physical,ContentBearingPhysical,Name,PartyID,PersonID
Media,Object,ConcreteEntity,Poster,,
Media,Attribute,,PrintedSheet,DataDisplayDevice,
Media,Physical,ContentBearingPhysical,Name,ProductID,
Media,Object,ConcreteEntity,ProjectionSlide,,
Media,Physical,ContentBearingPhysical,Name,ProprietaryIdentifier,
Media,Object,ConcreteEntity,Business,Proprietorship,
Media,Process,ConcreteEntity,Publication,,
Media,Object,ConcreteEntity,Business,Publisher,
Media,Process,ConcreteEntity,ReachingAgreement,,
Media,Attribute,,ObjectiveNorm,DigitalDataStorageDevice,ReadOnlyMemoryDataStorage
Media,Object,ConcreteEntity,Business,RecordingCompany,
Media,Attribute,,ObjectiveNorm,RecordingTape,
Media,Object,ConcreteEntity,Article,Report,
Media,Object,ConcreteEntity,Business,Restaurant,
Media,Object,ConcreteEntity,Business,RetailStore,
Media,Attribute,,ObjectiveNorm,DigitalDataStorageDevice,RewritableDataStorage
Media,Attribute,,ShapeAttribute,,
Media,Physical,ContentBearingPhysical,Sign,,
Media,Process,ConcreteEntity,Singing,MakingVocalMusic,
Media,Attribute,,ObjectiveNorm,Computer,SocialNetworkingSite
Media,Object,,CognitiveAgent,ArtificialIntelligence,SoftwareFile
Media,Physical,ContentBearingPhysical,Name,StandardIdentifier,
Media,Physical,ContentBearingPhysical,Name,ProductID,StandardProductID
Media,Attribute,,StructureAttribute,,
Media,Physical,ContentBearingPhysical,PlaceDescriptor,LocalizablePlaceID,SubDistrictID
Media,Object,ConcreteEntity,FormText,OperatingSystem,SymbianOS
Media,Object,ConcreteEntity,TapeCassette,,
Media,Object,ConcreteEntity,TapeRecorder,,
Media,Physical,ContentBearingPhysical,Name,StandardIdentifier,TerritoryCode
Media,Physical,ContentBearingPhysical,PlaceDescriptor,LocalizablePlaceID,TerritoryID
Media,Object,ConcreteEntity,TextDocument,,
Media,Physical,ContentBearingPhysical,TextualImage,,
Media,Object,ConcreteEntity,Transparency,,
Media,Object,ConcreteEntity,Business,TransportationCompany,
Media,Physical,ContentBearingPhysical,Name,FormalIdentifier,UPCcode
Media,Attribute,,TimeMeasure,TimeInterval,USHoliday
Media,Attribute,,TimeMeasure,TimeInterval,USThanksgivingDay
Media,Physical,ContentBearingPhysical,UnicodeString,,
Media,Abstract,Proposition,UniformResourceLocator,,
Media,Physical,ContentBearingPhysical,PlaceDescriptor,LocalizablePlaceID,UsStateCode
Media,Physical,ContentBearingPhysical,Name,PartyID,UserID
Media,Object,ConcreteEntity,VCRSystem,,
Media,Attribute,,ObjectiveNorm,RecordingTape,VHSCassette
Media,Attribute,,ObjectiveNorm,RecordingTape,VideoCassette
Media,Object,ConcreteEntity,DataStorageDevice,VideoDataStorageDevice,
Media,Attribute,,VisualAcuityAttribute,,
Media,Physical,ContentBearingPhysical,VisualContentBearingObject,,
Media,Physical,ContentBearingPhysical,VisualContentBearingPhysical,,
Media,Object,,CognitiveAgent,ArtificialIntelligence,WebPage
Media,Attribute,,ObjectiveNorm,Computer,WebSite
Media,Process,ConcreteEntity,Wedding,,
Media,Attribute,,ObjectiveNorm,DigitalDataStorageDevice,WriteOnceDataStorage
Media,Object,,CognitiveAgent,ArtificialIntelligence,XMLFile
Medicine,Attribute,,DiseaseOrSyndrome,ADHD,
Medicine,Attribute,,AVPUStatus,,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Immunosuppressive,Abatacept
Medicine,Process,ConcreteEntity,PathologicProcess,AbsenceSeizure,
Medicine,Object,ConcreteEntity,Acetaminophen,,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,AcetylLCarnitine,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Adalimumab,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Adderall,
Medicine,Abstract,AutoImmuneDisorder,AddisonsDisease,,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Desloratadine,Aerius
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Fexofenadine,Allegra
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Penicillin,Aminopenicillin
Medicine,Process,ConcreteEntity,Transfer,Amputating,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Analgesic,
Medicine,Process,ConcreteEntity,PathologicProcess,Anaphylaxis,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Anesthesia,
Medicine,Process,ConcreteEntity,TherapeuticProcess,Anesthetizing,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,AntiParasitic,
Medicine,Object,ConcreteEntity,BeliefGroup,AntiVaxxer,
Medicine,Object,ConcreteEntity,MeasuringDevice,AntibodyCOVIDTest,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Anticoagulant,
Medicine,Object,ConcreteEntity,BiologicallyActiveSubstance,Antiseizure,
Medicine,Process,ConcreteEntity,ApplyingTourniquet,,
Medicine,Process,ConcreteEntity,PhysiologicProcess,Death,Asphyxiation
Medicine,Object,ConcreteEntity,Aspirin,,
Medicine,Attribute,,AuditoryAcuityAttribute,,
Medicine,Abstract,AutoImmuneDisorder,,,
Medicine,Abstract,AutoImmuneDisorder,AutoimmuneVasculitis,,
